305,under18,2006,839372,Connecticut
306,total,2003,3484336,Connecticut
307,under18,2003,851115,Connecticut
308,total,2004,3496094,Connecticut
309,under18,2004,848979,Connecticut
310,total,2001,3432835,Connecticut
311,under18,2001,845850,Connecticut
312,total,2002,3458749,Connecticut
313,under18,2002,848877,Connecticut
314,total,1999,3386401,Connecticut
315,under18,1999,834654,Connecticut
316,total,2000,3411777,Connecticut
317,under18,2000,842242,Connecticut
318,under18,1998,824600,Connecticut
319,total,1998,3365352,Connecticut
320,total,1997,3349348,Connecticut
321,under18,1997,814373,Connecticut
322,under18,1996,811855,Connecticut
323,total,1996,3336685,Connecticut
324,total,1995,3324144,Connecticut
325,under18,1995,808623,Connecticut
326,total,1993,3309175,Connecticut
327,under18,1993,790749,Connecticut
328,under18,1994,801231,Connecticut
329,total,1994,3316121,Connecticut
330,under18,1991,766304,Connecticut
331,total,1991,3302895,Connecticut
332,under18,1992,777264,Connecticut
333,total,1992,3300712,Connecticut
334,total,1990,3291967,Connecticut
335,under18,1990,752666,Connecticut
336,under18,2012,107642,District of Columbia
337,total,2012,633427,District of Columbia
338,under18,2011,103906,District of Columbia
339,total,2011,619624,District of Columbia
340,under18,2010,101309,District of Columbia
341,total,2010,605125,District of Columbia
342,under18,2013,111474,District of Columbia
343,total,2013,646449,District of Columbia
344,total,2009,592228,District of Columbia
345,under18,2009,102098,District of Columbia
346,total,2007,574404,District of Columbia
347,under18,2007,104126,District of Columbia
348,total,2008,580236,District of Columbia
349,under18,2008,102257,District of Columbia
350,total,2005,567136,District of Columbia
351,under18,2005,107187,District of Columbia
352,total,2006,570681,District of Columbia
353,under18,2006,105651,District of Columbia
354,total,2003,568502,District of Columbia
355,under18,2003,111403,District of Columbia
356,total,2004,567754,District of Columbia
357,under18,2004,109756,District of Columbia
358,total,2001,574504,District of Columbia
359,under18,2001,114625,District of Columbia
360,total,2002,573158,District of Columbia
361,under18,2002,113822,District of Columbia
362,total,1999,570220,District of Columbia
363,under18,1999,115003,District of Columbia
364,total,2000,572046,District of Columbia
365,under18,2000,114503,District of Columbia
366,under18,1998,113839,District of Columbia
367,total,1998,565232,District of Columbia
368,under18,1997,119531,District of Columbia
369,total,1997,567739,District of Columbia
370,under18,1996,121210,District of Columbia
371,total,1996,572379,District of Columbia
372,total,1995,580519,District of Columbia
373,under18,1995,123620,District of Columbia
374,total,1993,595302,District of Columbia
375,under18,1993,120471,District of Columbia
376,under18,1994,122170,District of Columbia
377,total,1994,589240,District of Columbia
